dataset,archivo_origen,hoja_origen,ciclo_infys,tipo_seccion,ruta_salida,filas_leidas,columnas_leidas,filas_finales,columnas_finales,filas_eliminadas,duplicados_exactos_finales,duplicados_por_clave,id_conglomerado_nulos,id_sitio_nulos,anio_nulos,cve_ent_nulos,estado_nulos,cve_mun_nulos,municipio_nulos,registros_con_coordenadas,latitud_fuera_mexico,longitud_fuera_mexico,fuente_coordenadas,estado_validacion,observaciones
infys_secciones_conglomerados_2004_2009_limpio,INFyS_Secciones_2004_2009.xlsx,Conglomerados,2004-2009,conglomerados,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\03_data-preparation\infys\datasets\infys_secciones_conglomerados_2004_2009_limpio.csv,24630,34,24630,46,0,0,0,0,0,0,24630,0,24630,0,22022,0,0,x_y,ok,
infys_secciones_sitios_2004_2009_limpio,INFyS_Secciones_2004_2009.xlsx,Sitios,2004-2009,sitios,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\03_data-preparation\infys\datasets\infys_secciones_sitios_2004_2009_limpio.csv,81665,22,81665,34,0,0,0,0,0,0,81665,0,81665,0,81657,0,0,x_y,ok,
infys_secciones_conglomerados_2009_2014_limpio,INFyS_Secciones_2009_2014.xlsx,Conglomerados,2009-2014,conglomerados,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\03_data-preparation\infys\datasets\infys_secciones_conglomerados_2009_2014_limpio.csv,24889,24,24889,38,0,0,0,0,0,0,24889,0,24889,0,22882,0,0,x_y,ok,
infys_secciones_sitios_2009_2014_limpio,INFyS_Secciones_2009_2014.xlsx,Sitios,2009-2014,sitios,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\03_data-preparation\infys\datasets\infys_secciones_sitios_2009_2014_limpio.csv,88393,27,88393,39,0,0,0,0,0,0,88393,0,88393,0,87868,0,0,x_y,ok,
infys_secciones_conglomerados_2015_2020_limpio,INFyS_Secciones_2015-2020.xlsx,estatus_conglomerado_universal,2015-2020,conglomerados,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\03_data-preparation\infys\datasets\infys_secciones_conglomerados_2015_2020_limpio.csv,26220,55,26220,71,0,0,0,0,13061,13061,1,0,7,7,10959,0,0,x_c3_y_c3,ok,
infys_secciones_sitios_2015_2020_limpio,INFyS_Secciones_2015-2020.xlsx,estatus_sitios_universal,2015-2020,sitios,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\03_data-preparation\infys\datasets\infys_secciones_sitios_2015_2020_limpio.csv,43828,28,43828,43,0,0,0,0,0,0,43828,0,43828,43828,42720,0,0,x_c3_y_c3,ok,
