cluster_kmeans,feature,count_non_null,mean,min,max,global_weighted_mean,difference_vs_global,ratio_vs_global
1,conafor_disponible,2215258,0.8406817625757361,0.0,1.0,0.842441081273179,-0.0017593186974428354,0.9979116418506278
1,conafor_event_count,1862327,0.014775600632971547,0.0,25.0,0.01392328899258405,0.0008523116403874962,1.061214820782752
1,conafor_event_count_log1p,1862327,0.009399269518701257,0.0,3.258096538021482,0.008727867263028223,0.0006714022556730346,1.0769262679460234
1,firms_count,2215258,0.47149722515390985,0.0,123.0,0.7438360778399495,-0.2723388526860397,0.6338724877705669
1,firms_count_log1p,2215258,0.15005144926499359,0.0,4.820281565605037,0.17240346954555935,-0.022352020280565765,0.8703505193979927
1,firms_day_count,2215258,0.3688893122155523,0.0,123.0,0.5313821556879678,-0.16249284347241544,0.6942071883049218
1,firms_frp_sum,2215258,6.256704036279296,0.0,8889.34,10.600440754222102,-4.343736717942806,0.5902305556292348
1,firms_frp_sum_log1p,2215258,0.3397942918935775,0.0,9.092720572995969,0.37717385933299435,-0.03737956743941684,0.9008956572294803
1,firms_night_count,2215258,0.10260791293835751,0.0,105.0,0.21245392215198175,-0.10984600921362424,0.48296549152411306
1,has_conafor,2215258,0.010303088850147477,0.0,1.0,0.009467805954355755,0.0008352828957917217,1.0882234912522095
1,has_firms,2215258,0.11781787945241592,0.0,1.0,0.12706301946142182,-0.009245140009005892,0.9272397268049115
1,has_smn,2215258,0.9597812083287816,0.0,1.0,0.9571905559339374,0.0025906523948441285,1.0027065168777354
1,inegi_edafologia_area_total_km2,2215258,820.6063603266979,7.084583832778071,10078.44597542956,1261.7126932802225,-441.10633295352466,0.6503908256587886
1,inegi_edafologia_dominante_area_km2,2215258,299.1184794590509,4.105562648610081,4561.89484697411,415.37643351227257,-116.25795405322168,0.7201142273041671
1,inegi_edafologia_dominante_prop_area,2215258,0.39682121701795176,0.1195203866060718,1.0000007569107612,0.4196340979664307,-0.022812880948478942,0.9456362553495262
1,inegi_edafologia_n_clases,2215258,10.339991098102344,1.0,29.0,10.545516177239092,-0.20552507913674845,0.9805106667438107
1,inegi_fisiografia_area_total_km2,2215258,820.6033526977106,7.084615746437866,10078.265680719674,1261.5862102264923,-440.98285752878166,0.650453647991593
1,inegi_fisiografia_dominante_area_km2,2215258,772.8102470537867,7.084615746437866,9534.645697674034,1144.8725655343985,-372.0623184806118,0.6750185743974552
1,inegi_fisiografia_dominante_prop_area,2215258,0.9423775910341063,0.4239388609515003,1.0000000000000078,0.9303654993060572,0.012012091728049179,1.0129111534520667
