feature,familia,mean_original_imputed,std_original_imputed,min_original_imputed,max_original_imputed
firms_bright_t31_mean,firms,192.97840389012356,141.88173528547443,0.0,339.58500000000004
firms_brightness_mean,firms,211.36484335084722,155.48910378279754,0.0,401.8
firms_confidence_mean,firms,30.034118107578287,32.81582789637202,0.0,100.0
firms_count,firms,28.399882250655494,110.70231205096601,0.0,5285.0
firms_count_log1p,firms,1.612276765245185,1.6564883877156107,0.0,8.572817095164234
firms_day_count,firms,20.288328438520466,80.8365034481765,0.0,3273.0
firms_day_count_log1p,firms,1.369652659285157,1.5463544918110816,0.0,8.09376775793108
firms_frp_mean,firms,8.784534454893944,15.854404500156855,0.0,908.5800000000002
firms_frp_sum,firms,404.7279746085861,1792.5411239015668,0.0,102988.16
firms_frp_sum_log1p,firms,2.9158004389018997,2.642795417098088,0.0,11.542379018954923
firms_night_count,firms,8.111553812135028,38.35442636972763,0.0,2817.0
firms_night_count_log1p,firms,0.859671831632491,1.2686935779840793,0.0,7.943782692458625
entidad_area_km2_sum,inegi,61046.270539754805,52921.776109989594,1477.0605403469067,246973.3599858925
inegi_edafologia_area_total_km2,inegi,61046.269845357296,52921.779543364384,1477.066868542816,246973.4109122964
inegi_edafologia_dominante_entidad_area_km2,inegi,9344.462488089968,7426.4966466074,469.511499289621,27174.29537271325
inegi_fisiografia_area_total_km2,inegi,61041.4312977745,52926.83478547906,1477.0605403165243,246973.3608713115
inegi_fisiografia_dominante_entidad_area_km2,inegi,38351.020080405826,31483.8286755359,1476.0902941324068,136058.3378585953
inegi_hidrografia_longitud_total_km,inegi,20379.1612798979,16513.50681060153,346.13310550122645,72955.01002858185
inegi_hidrografia_n_segmentos_intersectados,inegi,4506.52091762338,3154.0030656884196,98.0,12199.0
inegi_hidrografia_tipo_dominante_entidad_longitud_km,inegi,19778.82961898411,16273.558685224141,345.4884727356481,71992.29780837361
inegi_uso_suelo_vegetacion_area_total_km2,inegi,61043.36900379315,52918.3705196578,1477.067961825877,246953.9311613255
inegi_uso_suelo_vegetacion_dominante_entidad_area_km2,inegi,11103.66278519365,11787.11070109887,540.6932002269139,46163.86118456477
infys_ind_composicion_derivado_punto_altitudc3_mean_20152020,infys,1330.4481397222416,810.5976435704637,38.32197039493889,2950.590604026845
infys_ind_composicion_derivado_punto_totalespecies_mean_20152020,infys,17.150702342708257,4.608785344172066,9.966212148043208,30.425410872313527
infys_ind_dist_at_dn_alturatotal_mean_20152020,infys,7.346498519907701,1.572485042834386,3.583999674426176,9.48318923818479
infys_ind_dist_at_dn_catdn10_mean_20152020,infys,10.625879933287743,1.4777109456314614,7.483045743122252,13.405430554095258
infys_ind_dist_at_dn_diametronormal_mean_20152020,infys,15.38085197237694,1.4710101926572454,12.150620218134462,18.158706760592995
infys_ind_estructura_maxat_mean_20152020,infys,15.954298303571516,2.7413971032043345,9.55,22.095714285714287
infys_ind_estructura_maxdn_mean_20152020,infys,39.4233519845761,4.502808412128216,26.660000000000004,47.46571428571429
infys_ind_estructura_mediaat_mean_20152020,infys,5.750998830097828,1.2350189635148054,3.4217010864462285,7.887486853488077
infys_ind_estructura_mediadn_mean_20152020,infys,15.096999591642213,1.5221209954946304,12.16940222109244,19.03916312776225
infys_ind_estructura_medianaat_mean_20152020,infys,5.3876389649462,1.1739339991318052,3.2076,7.666666666666667
infys_ind_estructura_medianadn_mean_20152020,infys,13.316457613446904,1.4472145656094642,10.747916666666669,17.592857142857145
infys_ind_estructura_minat_mean_20152020,infys,1.6716935646454993,0.46622603383542377,0.918529411764706,2.9188888888888886
infys_ind_estructura_mindn_mean_20152020,infys,8.48815189135277,0.6123200952511955,7.725833333333333,10.494444444444444
infys_ind_estructura_n_mean_20152020,infys,923.505401874999,1237.494121230105,85.4,5404.75
infys_ind_ima_imasubmuestra_mean_20152020,infys,0.025976165437692444,0.012968226914976316,0.006349865,0.0539392615624999
infys_ind_ima_sitiosxcglc3_mean_20152020,infys,3.9318974137444096,0.12227793528223055,3.333333333333333,4.0
infys_ind_ima_submuestra_mean_20152020,infys,2.329868451385445,0.2572197100244318,1.5,2.731707317073171
infys_ind_ivi_ivf_estratonumerodetaxones_mean_20152020,infys,59.43727616228414,66.02988729544192,7.2439024390243905,267.9756097560976
infys_ind_ivi_ivf_estratototalderegistros_mean_20152020,infys,5324.466473268374,12985.158769933556,110.36585365853658,60109.11810012837
infys_ind_ivi_ivf_estratoump_mean_20152020,infys,47.33487929061132,80.4236168660365,2.4201183431952664,356.98523748395377
infys_secc_cong_c2004_2009_derivado_mun_altitud_mean_20042009,infys,1182.8413834215482,745.7286452233784,43.27076923076923,2756.8823529411766
infys_secc_cong_c2004_2009_derivado_mun_pendiente_mean_20042009,infys,24.0622727704566,11.292637393298222,3.3207692307692307,44.17860262008733
infys_secc_cong_c2004_2009_derivado_mun_sitio2_mean_20042009,infys,0.8981017722989325,0.07922559649784507,0.6050420168067226,1.0
infys_secc_cong_c2004_2009_derivado_mun_sitio3_mean_20042009,infys,0.8980828231970933,0.08310501809875011,0.5966386554621849,1.0
infys_secc_cong_c2004_2009_derivado_mun_sitio4_mean_20042009,infys,0.8814862897869359,0.08756069953729735,0.5798319327731093,1.0
