validacion,estado,detalle
som_x,OK,"{'flujo': 'municipio_dia', 'som_config': 'som_50x50_sigma3_sample', 'som_x': 50, 'som_y': 50, 'total_nodes': 2500, 'occupied_nodes': 2496, 'empty_nodes': 4, 'occupied_nodes_pct': 0.9984, 'n_rows_total': 11154221, 'train_sample_size': 'sample_controlled', 'train_sample_rows_actual': 380000, 'metrics_sample_size': 100000, 'n_iterations': 750000, 'sigma': 3.0, 'learning_rate': 0.5, 'quantization_error': 0.08147303840662422, 'topographic_error': 0.11858, 'random_state': 42, 'sample_per_chunk': 10000}"
som_y,OK,"{'flujo': 'municipio_dia', 'som_config': 'som_50x50_sigma3_sample', 'som_x': 50, 'som_y': 50, 'total_nodes': 2500, 'occupied_nodes': 2496, 'empty_nodes': 4, 'occupied_nodes_pct': 0.9984, 'n_rows_total': 11154221, 'train_sample_size': 'sample_controlled', 'train_sample_rows_actual': 380000, 'metrics_sample_size': 100000, 'n_iterations': 750000, 'sigma': 3.0, 'learning_rate': 0.5, 'quantization_error': 0.08147303840662422, 'topographic_error': 0.11858, 'random_state': 42, 'sample_per_chunk': 10000}"
som_total_nodes,OK,"{'flujo': 'municipio_dia', 'som_config': 'som_50x50_sigma3_sample', 'som_x': 50, 'som_y': 50, 'total_nodes': 2500, 'occupied_nodes': 2496, 'empty_nodes': 4, 'occupied_nodes_pct': 0.9984, 'n_rows_total': 11154221, 'train_sample_size': 'sample_controlled', 'train_sample_rows_actual': 380000, 'metrics_sample_size': 100000, 'n_iterations': 750000, 'sigma': 3.0, 'learning_rate': 0.5, 'quantization_error': 0.08147303840662422, 'topographic_error': 0.11858, 'random_state': 42, 'sample_per_chunk': 10000}"
som_sigma,OK,"{'flujo': 'municipio_dia', 'som_config': 'som_50x50_sigma3_sample', 'som_x': 50, 'som_y': 50, 'total_nodes': 2500, 'occupied_nodes': 2496, 'empty_nodes': 4, 'occupied_nodes_pct': 0.9984, 'n_rows_total': 11154221, 'train_sample_size': 'sample_controlled', 'train_sample_rows_actual': 380000, 'metrics_sample_size': 100000, 'n_iterations': 750000, 'sigma': 3.0, 'learning_rate': 0.5, 'quantization_error': 0.08147303840662422, 'topographic_error': 0.11858, 'random_state': 42, 'sample_per_chunk': 10000}"
som_rows_total,OK,"{'flujo': 'municipio_dia', 'som_config': 'som_50x50_sigma3_sample', 'som_x': 50, 'som_y': 50, 'total_nodes': 2500, 'occupied_nodes': 2496, 'empty_nodes': 4, 'occupied_nodes_pct': 0.9984, 'n_rows_total': 11154221, 'train_sample_size': 'sample_controlled', 'train_sample_rows_actual': 380000, 'metrics_sample_size': 100000, 'n_iterations': 750000, 'sigma': 3.0, 'learning_rate': 0.5, 'quantization_error': 0.08147303840662422, 'topographic_error': 0.11858, 'random_state': 42, 'sample_per_chunk': 10000}"
som_occupied_nodes_alto,OK,"{'flujo': 'municipio_dia', 'som_config': 'som_50x50_sigma3_sample', 'som_x': 50, 'som_y': 50, 'total_nodes': 2500, 'occupied_nodes': 2496, 'empty_nodes': 4, 'occupied_nodes_pct': 0.9984, 'n_rows_total': 11154221, 'train_sample_size': 'sample_controlled', 'train_sample_rows_actual': 380000, 'metrics_sample_size': 100000, 'n_iterations': 750000, 'sigma': 3.0, 'learning_rate': 0.5, 'quantization_error': 0.08147303840662422, 'topographic_error': 0.11858, 'random_state': 42, 'sample_per_chunk': 10000}"
som_quantization_error_valido,OK,"{'flujo': 'municipio_dia', 'som_config': 'som_50x50_sigma3_sample', 'som_x': 50, 'som_y': 50, 'total_nodes': 2500, 'occupied_nodes': 2496, 'empty_nodes': 4, 'occupied_nodes_pct': 0.9984, 'n_rows_total': 11154221, 'train_sample_size': 'sample_controlled', 'train_sample_rows_actual': 380000, 'metrics_sample_size': 100000, 'n_iterations': 750000, 'sigma': 3.0, 'learning_rate': 0.5, 'quantization_error': 0.08147303840662422, 'topographic_error': 0.11858, 'random_state': 42, 'sample_per_chunk': 10000}"
som_topographic_error_valido,OK,"{'flujo': 'municipio_dia', 'som_config': 'som_50x50_sigma3_sample', 'som_x': 50, 'som_y': 50, 'total_nodes': 2500, 'occupied_nodes': 2496, 'empty_nodes': 4, 'occupied_nodes_pct': 0.9984, 'n_rows_total': 11154221, 'train_sample_size': 'sample_controlled', 'train_sample_rows_actual': 380000, 'metrics_sample_size': 100000, 'n_iterations': 750000, 'sigma': 3.0, 'learning_rate': 0.5, 'quantization_error': 0.08147303840662422, 'topographic_error': 0.11858, 'random_state': 42, 'sample_per_chunk': 10000}"
som_bmu_rows,OK,"filas BMU=11,154,221"
kmeans_obs_rows,OK,"filas KMeans obs=11,154,221"
