etapa,configuracion,estado,pca_components_total,pca_components_90pct,pca_selected_components,pca_selected_variance_pct,decision,som_x,som_y,sigma,learning_rate,train_sample_size,metrics_sample_size,n_iterations,occupied_nodes,empty_nodes,occupied_nodes_pct,quantization_error,topographic_error,k,silhouette_score,davies_bouldin_score,calinski_harabasz_score,inertia,min_cluster_observations_pct,max_cluster_observations_pct,min_cluster_size,min_samples,n_clusters,noise_observations_pct,dbcv
som_hdbscan,hdbscan_mcs30_ms5,ok,,,,,comparativo,,,,,,,,,,,,,,0.2447043164631291,1.379054043667972,131.84122874692116,,,,30.0,5.0,5.0,0.2812052877670754,0.1500188485713379
som_hdbscan,hdbscan_mcs30_ms10,ok,,,,,comparativo,,,,,,,,,,,,,,0.2325737376427646,1.464981996422537,140.8392788155434,,,,30.0,10.0,4.0,0.2867059620874494,0.1538857991658281
som_hdbscan,hdbscan_mcs30_ms15,ok,,,,,comparativo,,,,,,,,,,,,,,0.2280841675604252,1.4809412279665837,140.15232367946055,,,,30.0,15.0,4.0,0.2963381323037111,0.1512580420642937
som_hdbscan,hdbscan_mcs40_ms-1,ok,,,,,comparativo,,,,,,,,,,,,,,0.3588064085397927,0.8893012724787045,177.31038464637936,,,,40.0,-1.0,2.0,0.3742580764412314,0.1238104448531384
som_hdbscan,hdbscan_mcs40_ms5,ok,,,,,comparativo,,,,,,,,,,,,,,0.2447043164631291,1.379054043667972,131.84122874692116,,,,40.0,5.0,5.0,0.2812052877670754,0.1500188485713379
som_hdbscan,hdbscan_mcs40_ms10,ok,,,,,comparativo,,,,,,,,,,,,,,0.2325737376427646,1.464981996422537,140.8392788155434,,,,40.0,10.0,4.0,0.2867059620874494,0.1538857991658281
som_hdbscan,hdbscan_mcs40_ms15,ok,,,,,comparativo,,,,,,,,,,,,,,0.2280841675604252,1.4809412279665837,140.15232367946055,,,,40.0,15.0,4.0,0.2963381323037111,0.1512580420642937
som_hdbscan,hdbscan_mcs50_ms-1,ok,,,,,comparativo,,,,,,,,,,,,,,0.3911310201907139,0.8384698972667168,203.7420477554912,,,,50.0,-1.0,2.0,0.4144331943617232,0.2625590990952874
som_hdbscan,hdbscan_mcs50_ms5,ok,,,,,comparativo,,,,,,,,,,,,,,0.2275971019814996,1.479445182571681,139.7488901620117,,,,50.0,5.0,4.0,0.2812052877670754,0.153103113369608
som_hdbscan,hdbscan_mcs50_ms10,ok,,,,,comparativo,,,,,,,,,,,,,,0.2325737376427646,1.464981996422537,140.8392788155434,,,,50.0,10.0,4.0,0.2867059620874494,0.1538857991658281
som_hdbscan,hdbscan_mcs50_ms15,ok,,,,,comparativo,,,,,,,,,,,,,,0.2280841675604252,1.4809412279665837,140.15232367946055,,,,50.0,15.0,4.0,0.2963381323037111,0.1512580420642937
