fuente,grupo_fuente,formato,ruta,campo,es_critico,tipo_original,n_registros_fuente,nulos,pct_nulos,cardinalidad,ejemplos
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,num_inc,no,object,224,0,0.0,182,12 | 11 | 145 | 30 | 16
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,paraje,no,object,224,0,0.0,1,0
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,pasto,no,object,224,0,0.0,69,25.6 | 15.8 | 0 | 277.5 | 1234.77
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,predio,no,object,224,0,0.0,182,Cerro de los Gallos | Leyes de Reforma | El Tepi | Mikesky Ranch | Ejido 18 Marzo
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,relevante,no,object,224,0,0.0,1,0
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,renuev,no,object,224,0,0.0,49,0
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,suelo_org,no,object,224,0,0.0,8,2.56 | 0
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,tip_pro,no,object,224,0,0.0,1,0
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,tip_veg,no,object,224,0,0.0,20,Bosque de Encino | Chaparral | Pastizal Inducido | Palmar Natural
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,tipo_inc,no,object,224,0,0.0,3,Mixto | Superficial
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,total,no,object,224,0,0.0,135,64 | 16.3 | 44 | 1872 | 15.6
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,ano,no,float64,552,0,0.0,1,2013.0
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,anp,no,object,552,0,0.0,36,CADNR 001 Porcion Sierra Fria | 0
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,anp_ha,no,float64,552,0,0.0,102,14.0 | 4.0 | 0.0
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,arbor_ha,no,float64,552,0,0.0,55,0.0 | 5.0 | 1.0 | 4.0 | 20.0
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,arbusti_ha,no,float64,552,0,0.0,141,0.0 | 6000.0 | 200.0 | 15.0 | 8.0
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,area_ha,no,float64,552,0,0.0,257,14.0 | 4.0 | 16290.0 | 1256.0 | 3.5
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,causa,no,object,552,0,0.0,15,Fogatas | Intencional | Actividades Agropecuarias
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,causaesp,no,object,552,0,0.0,20,Ninguna / No aplica | Vandalismo | Fogatas de paseantes | Quema para preparacion de siembra
