tipo_fila,archivo,ruta,carpeta_relativa,formato,tipo_dato,registros,num_campos,campos_presentes,campos_tematicos_candidatos,campos_identificadores_candidatos,crs,epsg,geom_tipos,geom_vacias,geom_invalidas,bbox,raster_width,raster_height,raster_res_x,raster_res_y,raster_nodata,raster_dtype,raster_count,campo_nombre,campo_dtype_observado,campo_nulos,campo_nulos_pct,campo_unicos,campo_top_valores,campo_min_text_len,campo_max_text_len,campo_numeric_min,campo_numeric_max,campo_numeric_mean,raster_band,raster_valid_pixels,raster_nodata_pixels,raster_min,raster_max,raster_mean,shp_tiene_dbf,shp_tiene_shx,shp_tiene_prj,shp_tiene_cpg,shp_sidecars_faltantes,observaciones
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,CALIFP_G3,str,0.0,0.0,82.0,"[[""N"", 53084], [""N/A"", 10673], [""lep"", 2788], [""li"", 1766], [""len"", 818], [""ca"", 765], [""eu"", 753], [""sk"", 588], [""rz"", 464], [""ha"", 409]]",1.0,3.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,CLASE_TEX,int,0.0,0.0,4.0,"[[2, 40110], [3, 13861], [1, 10847], [9, 10673]]",,,1.0,9.0,3.0295929316077412,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,FRUDICA,str,0.0,0.0,4.0,"[[""N"", 37234], [""R"", 16433], [""r"", 11151], [""N/A"", 10673]]",1.0,3.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,N_G1,str,0.0,0.0,29.0,"[[""LEPTOSOL"", 15284], [""REGOSOL"", 10672], [""CALCISOL"", 8008], [""PHAEOZEM"", 7559], [""CUERPO DE AGUA"", 6128], [""VERTISOL"", 5332], [""LUVISOL"", 4891], [""LOCALIDAD"", 4448], [""CAMBISOL"", 2788], [""SOLONCHAK"", 1877]]",6.0,15.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,N_CS_G1,str,0.0,0.0,80.0,"[[""N"", 17532], [""N/A"", 10673], [""Calcárico"", 7532], [""Esquelético"", 7397], [""Eutrico"", 7225], [""Húmico"", 2698], [""Crómico"", 2393], [""Arídico"", 2389], [""Lúvico"", 2076], [""Epiesquelético"", 1681]]",1.0,15.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,N_CP_G1,str,0.0,0.0,99.0,"[[""Epiléptico"", 12093], [""N/A"", 10673], [""Lítico"", 6649], [""Endoléptico"", 5420], [""Esquelético"", 4821], [""Calcárico"", 3634], [""Eutrico"", 3130], [""Epipétrico"", 2576], [""Réndzico"", 2193], [""Lúvico"", 1878]]",3.0,16.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,N_G2,str,0.0,0.0,27.0,"[[""LEPTOSOL"", 13823], [""N"", 12710], [""N/A"", 10675], [""REGOSOL"", 10364], [""PHAEOZEM"", 5956], [""CALCISOL"", 4065], [""VERTISOL"", 3669], [""LUVISOL"", 3573], [""CAMBISOL"", 3192], [""FLUVISOL"", 1689]]",1.0,10.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,N_CS_G2,str,0.0,0.0,75.0,"[[""N"", 28610], [""N/A"", 10674], [""Eutrico"", 6793], [""Calcárico"", 6486], [""Esquelético"", 4959], [""Húmico"", 2356], [""Crómico"", 2265], [""Epiesquelético"", 1545], [""Dístrico"", 1362], [""Arídico"", 1356]]",1.0,16.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,N_CP_G2,str,0.0,0.0,95.0,"[[""N"", 12710], [""N/A"", 10674], [""Epiléptico"", 10249], [""Lítico"", 5049], [""Esquelético"", 5039], [""Calcárico"", 4020], [""Endoléptico"", 3483], [""Eutrico"", 2735], [""Réndzico"", 2352], [""Háplico"", 1497]]",1.0,16.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,N_G3,str,0.0,0.0,27.0,"[[""N"", 53082], [""N/A"", 10674], [""LEPTOSOL"", 3306], [""REGOSOL"", 2364], [""PHAEOZEM"", 1415], [""LUVISOL"", 968], [""VERTISOL"", 896], [""CAMBISOL"", 875], [""FLUVISOL"", 452], [""CALCISOL"", 439]]",1.0,10.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
