cluster_kmeans,feature,cluster_mean,cluster_median,global_mean,global_median,z_mean_vs_global,abs_z_mean_vs_global
1,smn_n_estaciones,106.89075387660839,102.0,78.24797875035085,70.0,0.7008048061920238,0.7008048061920238
1,infys_ind_dist_at_dn_diametronormal_mean_20152020,16.33150173050016,16.041033061553623,15.38085197237694,15.50272467086434,0.6462564045229079,0.6462564045229079
1,infys_ind_composicion_derivado_punto_totalespecies_mean_20152020,14.364956996087518,14.47508756880406,17.150702342708257,16.760830860534124,-0.6044424156450224,0.6044424156450224
1,infys_ind_dist_at_dn_alturatotal_mean_20152020,8.284416696191641,8.206657689477558,7.346498519907701,7.690331774176004,0.5964560238953711,0.5964560238953711
1,infys_ind_estructura_mediaat_mean_20152020,6.452106181047413,6.177111918376888,5.750998830097828,5.7813732118633805,0.5676895429639939,0.5676895429639939
1,infys_ind_estructura_maxat_mean_20152020,17.270355859865564,16.725806451612904,15.954298303571516,15.93222222222222,0.48006819397151507,0.48006819397151507
1,infys_sup_c2015_2020_estatal_superficieforestaltotalha_mean_20152020,2770509.122807079,1573554.1309540863,4334619.903323203,3585555.07437776,-0.3278270719491576,0.3278270719491576
1,infys_ind_estructura_maxdn_mean_20152020,40.80016281431458,41.77575757575757,39.4233519845761,40.29166666666666,0.3057671354681828,0.3057671354681828
1,infys_sup_c2015_2020_detalle_superficieha_mean_20152020,72491.49139060626,81597.88225631247,96292.57465767392,87254.68047051287,-0.3013549181344106,0.3013549181344106
1,conafor_event_count_log1p,0.3138744375454222,0.0,0.17399636247393407,0.0,0.2937500817328329,0.2937500817328329
1,firms_day_count_log1p,1.800495604514865,1.3862943611198906,1.369652659285157,0.6931471805599453,0.2786184846432639,0.2786184846432639
1,conafor_event_count,0.9109204882876938,0.0,0.44783772497312985,0.0,0.2702347103694053,0.2702347103694053
1,firms_count_log1p,2.038803517637402,1.791759469228055,1.612276765245185,1.0986122886681098,0.2574885254586185,0.2574885254586185
1,smn_amplitud_termica_c,14.304257247487673,14.013956521739129,15.162092887699425,14.896907216494848,-0.2551802579646215,0.2551802579646215
1,firms_frp_sum_log1p,3.5776106402398575,3.8416005411316,2.9158004389018997,2.9856819377004897,0.2504205195212031,0.2504205195212031
1,has_conafor,0.23441108545034642,0.0,0.14654316677277798,0.0,0.2484597420445631,0.2484597420445631
1,smn_evap_mm_mean,4.464605386232291,4.288658536585367,4.810105865946607,4.537037037037037,-0.209980233087486,0.209980233087486
1,firms_day_count,35.957398548333884,3.0,20.288328438520466,1.0,0.1938365644409485,0.1938365644409485
1,firms_night_count_log1p,1.102740969400117,0.6931471805599453,0.859671831632491,0.0,0.19159010653609235,0.19159010653609235
1,smn_precip_mm_mean,3.3822174872377224,1.0447644124168514,2.439397705015655,0.3571428571428571,0.19092346408776842,0.19092346408776842
1,firms_count,49.216320246343344,5.0,28.399882250655494,2.0,0.1880397763156402,0.1880397763156402
1,has_firms,0.7300395908940943,1.0,0.6495998576054438,1.0,0.16860279939693693,0.16860279939693693
1,entidad_area_km2_sum,52804.368377905055,63571.94208959224,61046.270539754805,58301.45466486493,-0.15573744435032286,0.15573744435032286
