cluster_kmeans,n_observaciones,pct_observaciones,n_entidades,fecha_min,fecha_max,has_conafor_rate,has_firms_rate,has_smn_rate,temporada_incendios_rate,anio_mean,anio_median,mes_mean,mes_median,dia_del_anio_mean,dia_del_anio_median,semana_iso_mean,semana_iso_median,trimestre_mean,trimestre_median,conafor_event_count_mean,conafor_event_count_median,conafor_event_count_log1p_mean,conafor_event_count_log1p_median,firms_count_mean,firms_count_median,firms_count_log1p_mean,firms_count_log1p_median,firms_frp_sum_mean,firms_frp_sum_median,firms_frp_sum_log1p_mean,firms_frp_sum_log1p_median,firms_frp_mean_mean,firms_frp_mean_median,firms_brightness_mean_mean,firms_brightness_mean_median,firms_confidence_mean_mean,firms_confidence_mean_median,firms_day_count_mean,firms_day_count_median,firms_night_count_mean,firms_night_count_median,firms_day_count_log1p_mean,firms_day_count_log1p_median,firms_night_count_log1p_mean,firms_night_count_log1p_median,smn_n_estaciones_mean,smn_n_estaciones_median,smn_precip_mm_mean_mean,smn_precip_mm_mean_median,smn_evap_mm_mean_mean,smn_evap_mm_mean_median,smn_tmin_c_mean_mean,smn_tmin_c_mean_median,smn_tmax_c_mean_mean,smn_tmax_c_mean_median,smn_temp_media_c_mean,smn_temp_media_c_median,smn_amplitud_termica_c_mean,smn_amplitud_termica_c_median,entidad_area_km2_sum_mean,entidad_area_km2_sum_median,inegi_hidrografia_longitud_total_km_mean,inegi_hidrografia_longitud_total_km_median,inegi_edafologia_area_total_km2_mean,inegi_edafologia_area_total_km2_median,inegi_fisiografia_area_total_km2_mean,inegi_fisiografia_area_total_km2_median,inegi_uso_suelo_vegetacion_area_total_km2_mean,inegi_uso_suelo_vegetacion_area_total_km2_median,infys_sup_c2015_2020_estatal_superficieforestaltotalha_mean_20152020_mean,infys_sup_c2015_2020_estatal_superficieforestaltotalha_mean_20152020_median,infys_sup_c2015_2020_detalle_superficieha_mean_20152020_mean,infys_sup_c2015_2020_detalle_superficieha_mean_20152020_median,infys_ind_estructura_mediaat_mean_20152020_mean,infys_ind_estructura_mediaat_mean_20152020_median,infys_ind_estructura_mediadn_mean_20152020_mean,infys_ind_estructura_mediadn_mean_20152020_median,infys_ind_estructura_maxat_mean_20152020_mean,infys_ind_estructura_maxat_mean_20152020_median,infys_ind_estructura_maxdn_mean_20152020_mean,infys_ind_estructura_maxdn_mean_20152020_median,infys_ind_composicion_derivado_punto_totalespecies_mean_20152020_mean,infys_ind_composicion_derivado_punto_totalespecies_mean_20152020_median,infys_ind_dist_at_dn_alturatotal_mean_20152020_mean,infys_ind_dist_at_dn_alturatotal_mean_20152020_median,infys_ind_dist_at_dn_diametronormal_mean_20152020_mean,infys_ind_dist_at_dn_diametronormal_mean_20152020_median
1,72744,0.24899878827709432,20,2001-01-01,2025-12-31,0.23441108545034642,0.7300395908940943,1.0,0.49899648080941383,2013.068610469592,2013.0,6.515025294182338,7.0,182.82830199054217,182.0,26.532043879907622,26.0,2.5061860772022433,3.0,0.9109204882876938,0.0,0.3138744375454222,0.0,49.216320246343344,5.0,2.038803517637402,1.791759469228055,637.0224278290995,45.6,3.5776106402398575,3.8416005411316,13.411972736159155,9.225602272727272,325.39821962921013,326.6,61.42764322782613,64.0,35.957398548333884,3.0,13.258921698009457,1.0,1.800495604514865,1.3862943611198906,1.102740969400117,0.6931471805599453,106.89075387660839,102.0,3.3822174872377224,1.0447644124168514,4.464605386232291,4.288658536585367,14.02748524884332,14.764421338155515,28.331742496330993,28.702312215985035,21.179613872587154,21.745865226899944,14.304257247487673,14.013956521739129,52804.368377905055,63571.94208959224,21869.675418109044,25846.86096845226,52804.368448839334,63571.94167131701,52804.36839751525,63571.941941387806,52802.73796077256,63571.93999556619,2770509.122807079,1573554.1309540863,72491.49139060626,81597.88225631247,6.452106181047413,6.177111918376888,14.922259785370755,15.1411107465627,17.270355859865564,16.725806451612904,40.80016281431458,41.77575757575757,14.364956996087518,14.47508756880406,8.284416696191641,8.206657689477558,16.33150173050016,16.041033061553623
2,63694,0.21802112642308982,7,2001-01-01,2025-12-31,0.1268251326655572,0.6762960404433699,1.0,0.49456777718466416,2012.976591201683,2013.0,6.528275818758439,7.0,183.2796495745282,184.0,26.59586460263133,27.0,2.5104091437184035,3.0,0.36019091280183374,0.0,0.14570398052597056,0.0,21.07997613589977,3.0,1.6639716462371685,1.3862943611198906,269.95982494426477,24.0,2.9841506691270063,3.218875824868201,12.700044354218536,7.9478888888888894,325.0713507982561,325.80894871794874,62.6974505352449,64.5,14.27605425942789,2.0,6.803921876471882,0.0,1.4052282814157837,1.0986122886681098,0.8903525181130705,0.0,104.49535278048168,107.0,1.8725865314603831,0.22777046783625732,4.942120289043348,4.716988899167438,12.026326116287056,12.50929033804843,28.151618462956723,28.294117647058822,20.08897228962189,20.295652057148995,16.125292346669667,15.87617470829391,72608.95426514081,74479.70732392296,24219.86655034734,23677.4267158576,72608.93910181394,74479.68400141835,72608.95266340469,74479.70763480823,72607.69048057667,74479.67834289427,4845202.043501667,4248261.253291089,108643.69474368123,104203.96616414483,5.259873765968386,5.202721834134465,15.77166981262701,15.18394570406638,16.550858685351034,16.571875,40.59768635221865,41.67391304347826,18.596493148501718,18.926929392446635,6.8611524926309135,7.23742224766266,15.601022956802847,15.50272467086434
3,37005,0.12666611899529687,5,2001-01-01,2025-12-31,0.08577219294689907,0.5451425483042832,0.9981083637346304,0.4941764626401838,2012.9117146331578,2013.0,6.524172409133901,7.0,183.24915551952438,184.0,26.589514930414808,27.0,2.508525874881773,3.0,0.12979327117957032,0.0,0.07495633678273121,0.0,15.905499256857182,1.0,1.1930196602554983,0.6931471805599453,181.79422105120932,4.4,2.24781227223443,1.6863989535702288,12.636595387775964,8.387500000000001,328.43903231413674,330.23454545454547,62.62100022749016,65.0,11.876584245372246,1.0,4.028915011484934,0.0,1.0834284342399827,0.6931471805599453,0.46419631958826757,0.0,42.87034184569653,39.0,2.4069985039865625,0.0049999999999999,4.995753262880566,4.772135416666668,15.39513127013935,15.441176470588236,31.27273900337079,32.233333333333334,23.333935136755077,24.126470588235293,15.877607733231445,15.775757575757574,24514.171744228268,27825.013468376983,9545.408247274585,11240.747617499375,24514.16133340689,27824.9906249528,24475.97079585881,27825.01348867952,24514.15721797409,27824.98977467752,1458127.4191835544,1918333.3338064,40111.28932987,40706.91991867121,6.001788029256829,6.504304732815658,14.42908296660946,13.930607708246391,15.16443050256905,17.307142857142857,36.09988837955431,38.61290322580645,14.660719482138834,14.651277243965316,6.970757653085668,7.686782540512285,14.839553514533744,15.467559125390451
4,27406,0.0938092597536848,10,2001-01-01,2025-12-31,0.11216521929504487,0.6554769028679851,0.9988688608333941,0.496424140699117,2012.996205210538,2013.0,6.522403853170839,7.0,183.1009268043494,183.0,26.57009413996935,27.0,2.508355834488798,3.0,0.1741954316573013,0.0,0.09934237745507377,0.0,11.965518499598629,2.0,1.3741002949401984,1.0986122886681098,290.2666226373787,17.7,2.786068521719118,2.928523523860541,19.193519701221714,10.579468864468865,327.2360387164124,327.81589285714284,65.45991868336588,67.33333333333333,7.592096621177844,1.0,4.373421878420784,0.0,1.136761023949483,0.6931471805599453,0.7283785290210909,0.0,98.71871123111727,118.0,0.745449252618838,9.708737864076796e-05,5.771129119864703,5.753141447368421,13.18339020572071,12.511602564102565,29.91011659546338,30.23115038115038,21.546753400592046,21.355553673082134,16.726726389742662,16.443377192982453,108495.49230698997,73406.1586083044,35372.923549158106,28345.76437717453,108495.46872144274,73406.14944325968,108495.47346968217,73406.15074132578,108491.68276767156,73402.14022442198,9356130.481446214,6818426.016233531,189236.1971375146,169353.15675178962,3.7185165902313018,3.5506894288290654,13.422864958031614,13.517744906093595,15.246166181560557,15.37142857142857,35.754815570785205,36.91428571428571,20.296507341167317,20.66050308179244,4.210985519279085,3.869550858652576,13.387824742546439,13.774633421400264
5,27393,0.09376476145488899,4,2001-01-01,2025-12-31,0.06202314459898514,0.6763041652977038,0.9996714489103056,0.49625816814514656,2013.0006205965028,2013.0,6.522834300733764,7.0,183.11287555214835,183.0,26.57182491877487,27.0,2.5085240754937392,3.0,0.09352754353301938,0.0,0.0540702034086138,0.0,48.688351038586504,3.0,1.8183600888927047,1.3862943611198906,938.8802533493958,23.15,3.280532611354756,3.184284380098582,15.554093586618592,10.301,327.0564750870003,328.8926470588235,63.559677092504145,66.0,42.00883437374512,2.0,6.679516664841382,0.0,1.6458372420883718,1.0986122886681098,0.796358635033658,0.0,51.43200817727156,51.0,3.3499188536040823,1.2078604118993135,4.379134650639904,4.3116515837104075,20.234173549131857,20.949056603773585,32.855639252691475,33.13650793650793,26.544906400911664,27.07049180327869,12.621465703559618,12.442187500000005,47089.13395877323,44572.37027283766,2561.112626103884,2559.941725356055,47089.153170767364,44572.332780777135,47089.14820687954,44572.37026362851,47080.94702811459,44550.21145902956,3634049.8728359,3877252.91468525,93757.99965975338,96296.84255048427,6.521919916284684,6.622483562011354,12.963851692615416,12.474633287976417,16.17748086395983,15.8125,37.291992215851394,37.08,10.576677892741047,9.977765493520057,9.219836875937263,9.119036956578636,13.380858197010966,13.74074953196608
6,18261,0.06250641802386478,2,2001-01-01,2025-12-31,0.10087070806637095,0.5239034006899951,1.0,0.4961940748042276,2013.0007666611905,2013.0,6.523246262526696,7.0,183.12540386616286,183.0,26.573626855046275,27.0,2.5086796999069056,3.0,0.17479875143748974,0.0,0.09457280855366895,0.0,5.213131810963255,1.0,0.9900370917541731,0.6931471805599453,40.11986254860085,3.05,1.818530802838204,1.3987168811184478,9.011259296958345,5.757619047619048,322.711676990745,321.35,57.59789127487262,59.0,2.7534636657357208,0.0,2.459668145227534,0.0,0.741955037539105,0.0,0.5482600863253683,0.0,55.443842067794755,42.0,1.8146825490960339,0.4583333333333333,4.487986633575672,4.371142857142857,10.062719072676039,10.534939759036144,25.72757724049141,25.714285714285715,17.895148156583723,18.12162162162162,15.664858167815373,15.734246575342468,16121.65842476472,11589.267540479635,6261.461929778344,4472.5249469023065,16121.657994113197,11589.26704177526,16121.658273485562,11589.26723798964,16121.657757835981,11589.266914491944,829233.6764122781,696347.85469996,25694.26873166325,18855.77963415284,5.516843000143725,5.371223299769071,15.216161715691896,15.445440151219378,13.758543457037707,12.348275862068968,37.85343855097258,37.67586206896552,16.467127616678674,15.897540983606556,7.683608971289871,7.412675577707295,16.26083593711658,15.929111916628909
7,18261,0.06250641802386478,2,2001-01-01,2025-12-31,0.2215650840589234,0.2716718690104594,1.0,0.4961940748042276,2013.0007666611905,2013.0,6.523191501013088,7.0,183.1237610207546,183.0,26.573407808991842,27.0,2.508624938393297,3.0,0.7452494386944856,0.0,0.28397470178194556,0.0,1.1445703959257434,0.0,0.3538817069576396,0.0,14.727650731066207,0.0,0.7178294983271815,0.0,8.6268081685474,4.954000000000001,325.1237925851129,327.03444444444443,63.33868485713144,65.0,0.8061990033404524,0.0,0.33837139258529103,0.0,0.2578890100599001,0.0,0.14703726066510905,0.0,21.43705164010733,16.0,2.2444277905169847,0.3903333333333333,4.27331133138151,4.148920454545454,7.705995940999135,8.116666666666667,23.196721538788925,23.12142857142857,15.451358739894031,15.6609375,15.490725597789792,15.342857142857143,2725.1556158626404,1477.0605403469067,1260.714252773054,346.13310550122645,2725.1587975237285,1477.066868542816,2725.1556158474473,1477.0605403165243,2725.1593768146736,1477.067961825877,59441.76552254205,44715.1772682,8424.413701769592,5747.355964193552,7.1304222263124055,6.373440510606144,17.07254306710149,15.1061383848287,17.12851510244314,16.1,44.79991785772959,43.3,21.828476202342067,19.214285714285715,8.69087872072413,8.383050847457627,17.982015164022993,17.929539951573847
8,18251,0.06247218856325262,2,2001-01-01,2025-12-31,0.18552408087228098,0.8035724069913978,1.0,0.4960276149252096,2013.0018629116212,2013.0,6.523478165579968,7.0,183.13265026573887,183.0,26.574708235165197,27.0,2.5088488302010847,3.0,0.6599090460796668,0.0,0.243551922785761,0.0,29.54309352912169,5.0,1.9934655105332435,1.791759469228055,422.2666149800011,38.0,3.4720376258503336,3.6635616461296463,11.985482178731475,7.231776556776557,320.6685186545616,320.00809411764703,64.02683560955722,65.14285714285714,15.246068708563914,2.0,14.297024820557777,2.0,1.4442843905324925,1.0986122886681098,1.3555506201184868,1.0986122886681098,51.52424524683579,54.0,1.098468867404587,0.1394642857142857,5.560768895248379,5.391414392059553,10.98375150014211,11.576,27.536216234610695,28.439393939393938,19.259983867376402,20.056896551724137,16.552464734468582,16.39642857142857,198798.5470575647,150671.22299192642,57803.70930291923,42667.34414204639,198798.61387784776,150671.3056904211,198798.55186735612,150671.2317222217,198781.5508637299,150656.65703083074,17674892.871123217,13742860.6502764,307687.4780166227,240603.10402593145,3.9542700446190175,3.8452443565574335,17.140703251921174,17.608384404140907,13.3290397162933,12.0676,41.04048945830082,39.796,25.281948387010154,30.425410872313527,5.535290902641053,5.2328531006838,14.572869161183595,14.129243103041736
9,9131,0.031254920484963,1,2001-01-01,2025-12-31,0.05048735078304677,0.8475522943817764,1.0,0.49622166246851385,2013.0006571021795,2013.0,6.52305333479356,7.0,183.12024969882816,183.0,26.572883583397218,27.0,2.5085970868470047,3.0,0.07052896725440806,0.0,0.04207492506101452,0.0,51.31234256926952,13.0,2.648539195589987,2.6390573296152584,612.838776694776,167.32999999999998,4.647210914288136,5.125926338430991,14.781019385343395,11.51375,322.9950727164516,323.48785714285714,63.988792819478356,66.0,28.54024750848757,6.0,22.77209506078195,4.0,2.0490784601297207,1.9459101490553128,1.9527572526559236,1.6094379124341005,41.986200854232834,47.0,5.6804821621443775,2.058333333333333,3.528016305162874,3.42125,21.74382779074115,22.287096774193547,32.61357206110569,33.10909090909091,27.178699925923418,27.69571428571429,10.86974427036454,10.979411764705883,24701.24402850567,24701.24402850567,7778.991602169852,7778.99160216985,24701.243303291263,24701.243303291267,24701.24429544804,24701.24429544804,24700.233606504604,24700.233606504607,817154.1303197258,817154.130319726,50458.23972599045,50458.23972599044,7.66345588523547,7.663455885235469,17.63984066400349,17.63984066400349,13.255555555555556,13.255555555555556,40.29166666666666,40.29166666666666,25.389312977099248,25.38931297709924,8.83112911392405,8.83112911392405,15.100172151898736,15.100172151898734
