cve_ent,cluster_id,n_observaciones,dias_con_firms,dias_con_conafor,dias_con_smn,firms_total,cluster_label,cluster_name,nivel_actividad_firms,nivel_confirmacion_conafor,nivel_cobertura_smn,color_sugerido,orden_visualizacion
18,4,1189,143,12,1186,882.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
19,4,13606,686,8,13584,2946.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
20,4,222724,13825,569,212023,40539.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
21,4,169616,12917,1839,161390,25094.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
22,4,27873,1395,387,27749,3310.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
23,4,740,55,9,740,152.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
24,4,13837,725,5,13485,1375.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
25,4,936,68,1,936,169.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
26,4,8209,149,9,8127,486.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
27,4,9,1,0,9,1.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
28,4,22148,1334,8,22050,4956.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
29,4,19607,536,455,19197,1488.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
30,4,88784,7393,550,85548,22803.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
31,4,112063,18504,132,105621,61021.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
32,4,60201,806,83,60031,2092.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
1,6,1,0,0,1,0.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
2,6,2925,170,159,2925,659.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
3,6,9070,233,48,9070,492.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
4,6,9854,4837,19,8334,39472.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
5,6,3935,152,69,3880,517.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
6,6,11503,1885,108,11502,5754.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
7,6,93612,17092,248,87914,78739.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
8,6,9411,935,62,8767,5730.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
9,6,16387,596,1739,16329,1698.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
10,6,11641,2040,161,10658,18012.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
11,6,11501,154,9,11465,327.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
12,6,28251,1264,84,28131,3690.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
13,6,14425,1642,105,14359,3584.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
14,6,37197,2469,941,35991,7747.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
15,6,61325,4081,1451,59860,12870.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
16,6,21087,3653,612,19984,12414.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
17,6,47,20,12,20,28.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
18,6,373,34,0,356,71.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
19,6,52642,2348,264,52262,7322.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
20,6,65897,8836,500,61643,44261.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
21,6,31566,1649,411,30795,5328.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
22,6,1502,18,9,1490,32.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
23,6,342,163,18,181,627.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
24,6,26781,1000,144,26680,3069.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
25,6,325,107,0,325,225.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
26,6,60760,1254,42,60000,6593.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
27,6,5528,1129,15,4800,3016.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
28,6,13058,570,45,12682,2330.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
29,6,24876,618,677,24697,1867.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
30,6,48682,10416,100,46474,45912.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
31,6,9157,1233,19,8603,4693.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
32,6,8169,586,125,8169,5164.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
5,9,57507,8020,93,56565,77178.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
6,9,28,6,0,28,29.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
7,9,18,12,3,18,74.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
8,9,9,0,0,9,0.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
10,9,35766,975,19,35753,1697.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
11,9,4,0,0,4,0.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
12,9,2,0,0,2,0.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
13,9,18063,148,43,18061,203.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
18,9,68,43,1,68,331.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
19,9,28821,1075,38,28529,2650.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
21,9,9150,238,16,9123,395.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
22,9,16725,645,12,16722,1316.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
24,9,39749,656,45,39738,1611.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
25,9,2,0,0,2,0.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
26,9,65,10,3,58,84.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
28,9,20,8,0,18,116.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
30,9,3,0,0,3,0.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
32,9,18258,383,14,18229,742.0,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
