dataset,ruta,granularidad,tipo_bloque,columna,fuente_inferida,rol_metodologico,estatus_feature,riesgo_leakage,dtype_observado,filas_dataset,columnas_dataset,nulos,nulos_pct,unicos,valor_mas_frecuente,valor_mas_frecuente_freq,valor_mas_frecuente_pct,es_constante,nulos_50pct_o_mas,columna_totalmente_nula,candidata_numerica,numeric_min,numeric_max,numeric_mean,numeric_median,numeric_std,numeric_p01,numeric_p99,valores_negativos,valores_cero,valores_infinitos_aprox
inegi_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_inegi_entidad_contexto.csv,entidad,contexto_inegi,inegi_uso_suelo_vegetacion_dominante_entidad_area_km2,inegi,superficie_area,candidata_revisar,bajo_revisar_contexto,float64,32,17,0,0.0,32,793.692451369602,1.0,3.125,False,False,False,True,540.6932002269139,46163.86118456477,11102.161312041411,8266.103706590111,11975.37546226411,575.387154830705,45517.822523946,0.0,0.0,0.0
inegi_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_inegi_entidad_contexto.csv,entidad,contexto_inegi,n_municipios_contexto,inegi,variable_base,candidata_revisar,bajo_revisar_contexto,int64,32,17,0,0.0,29,11,2.0,6.25,False,False,False,True,5.0,570.0,77.4375,48.5,105.2115955525325,5.62,460.57000000000045,0.0,0.0,0.0
inegi_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_inegi_entidad_contexto.csv,entidad,contexto_inegi,cve_ent,inegi,llave_espacial,no_feature_trazabilidad,no_aplica_no_feature,int64,32,17,0,0.0,32,1,1.0,3.125,False,False,False,False,1.0,32.0,16.5,16.5,9.38083151964686,1.31,31.69,0.0,0.0,0.0
inegi_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_inegi_entidad_contexto.csv,entidad,contexto_inegi,nom_ent,inegi,llave_espacial,no_feature_trazabilidad,no_aplica_no_feature,object,32,17,0,0.0,32,Aguascalientes,1.0,3.125,False,False,False,False,,,,,,,,,,
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_coniferasxsitio_mean_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,28,3.6666666666666665,1.0,3.5714,False,False,False,True,1.5,12.853658536585366,7.068697550443397,6.759263816622135,2.8444354897405093,1.7249999999999999,12.827317073170732,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_coniferasxsitio_valid_count_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,27,263.0,2.0,7.1429,False,False,False,True,2.0,2704.0,369.5,131.5,688.9068904458017,2.27,2688.88,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_filaencabezadodetectada_mean_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,1,0.0,28.0,100.0,True,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_filaencabezadodetectada_valid_count_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,27,263.0,2.0,7.1429,False,False,False,True,2.0,2704.0,369.5,131.5,688.9068904458017,2.27,2688.88,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_imasitio_mean_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,28,0.008757405,1.0,3.5714,False,False,False,True,0.006349865,0.2187186513414634,0.07488769167923189,0.0611629389120341,0.053261087160725744,0.006999900799999999,0.20890962122207318,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_imasitio_valid_count_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,27,41.0,2.0,7.1429,False,False,False,True,2.0,2619.0,358.7142857142857,131.5,663.862371788949,2.27,2594.43,0.0,0.0,0.0
